model_name,model_alias,prompt_name,sample_count,mean,weighted_mean,penalized_mean,penalized_weighted_mean
llama2-7b,llama2-7b,medprompt,75,2.2933333333333334,5.481651376146794,0.8959936014474543,-0.3999597723575532
gemini_pro,gemini_pro,dynamic_few_shot,75,2.3066666666666666,5.483516483516484,0.8943946118409194,-0.4017728628538568
glm3_turbo,glm3_turbo,dynamic_few_shot,75,2.16,5.49765258215963,0.9112356188450115,-0.4155872421839679
gemini_pro,gemini_pro,auto-cot,75,3.0933333333333333,5.583212735166427,0.7703008775322769,-0.50199715468987
llama2-7b,llama2-7b,dynamic_few_shot,75,2.3733333333333335,5.607920792079211,0.8861859698203957,-0.5278686814851508
gemini_pro,gemini_pro,few_shot,75,3.3333333333333335,5.616360177552317,0.7177746399526971,-0.5368022056905872
glm3_turbo,glm3_turbo,medprompt,75,3.2533333333333334,5.674098360655739,0.7362120180586,-0.5992690224334869
glm4,glm4,dynamic_few_shot,75,2.5733333333333333,5.694974003466205,0.8592864209250286,-0.6224444536932718
glm4,glm4,medprompt,75,2.88,5.698578908002995,0.8105172512270837,-0.6264788051312904
gemini_pro,gemini_pro,medprompt,75,2.7333333333333334,5.70710295291301,0.8350692910764186,-0.6360564319250597
gemini_pro,gemini_pro,standard,75,3.32,5.709514807813486,0.720915277448686,-0.638776152255683
glm3_turbo,glm3_turbo,standard,75,4.08,5.753197536712458,0.4897041556707479,-0.6887887067640452
glm4,glm4,standard,75,3.48,5.771526980482206,0.6813477607368874,-0.7102057876616044
glm4,glm4,few_shot,75,3.44,5.779116465863455,0.6916332392303056,-0.7191495821629983
glm3_turbo,glm3_turbo,few_shot,75,4.053333333333334,5.784810126582278,0.49992212013958326,-0.7258886126367194
glm4,glm4,auto-cot,75,3.5733333333333333,5.7905701754386,0.6562696930587186,-0.7327319406061594
mistral-7b,mistral-7b,dynamic_few_shot,75,3.52,5.809312638580933,0.6707881771381423,-0.7551794817848041
glm3_turbo,glm3_turbo,auto-cot,75,3.8533333333333335,5.815674891146591,0.5711040591813015,-0.7628625555525923
mistral-7b,mistral-7b,medprompt,75,3.5866666666666664,5.851792402354201,0.6525598204543447,-0.8070925623207879
llama2-7b,llama2-7b,auto-cot,75,4.56,5.865414710485133,0.2715449650411087,-0.8240493241487696
chatglm3-6b,chatglm3-6b,medprompt,75,3.986666666666667,5.873669597408609,0.5246967740087013,-0.8343989828172389
chatglm3-6b,chatglm3-6b,dynamic_few_shot,75,3.973333333333333,5.884527612962118,0.529522714029374,-0.8480981656384088
mistral-7b,mistral-7b,few_shot,75,5.04,5.88888888888889,-0.027571983734041128,-0.8536282274141753
llama2-7b,llama2-7b,standard,75,4.346666666666667,5.90539419087137,0.3770371516383737,-0.8747009756039967
llama2-7b,llama2-7b,few_shot,75,4.88,5.911347517730498,0.08278712806886468,-0.8823580380562384
mistral-7b,mistral-7b,auto-cot,75,4.666666666666667,5.915241353097683,0.21298342531723147,-0.8873824571008726
mistral-7b,mistral-7b,standard,75,4.88,5.923564635435013,0.08278712806886468,-0.8981656571281413
chatglm3-6b,chatglm3-6b,auto-cot,75,5.346666666666667,5.940516972905636,-0.2744713966645256,-0.920311547679775
chatglm3-6b,chatglm3-6b,standard,75,5.293333333333333,5.954459203036051,-0.22787958826747046,-0.9387110537274574
chatglm3-6b,chatglm3-6b,few_shot,75,5.413333333333333,5.970103721781573,-0.3350564557608451,-0.9595588846101699
